# Band Name                        ,Catalogue Name                     ,Date Observed                      ,RA,Dec,Flux,Frequency                          ,Names
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:50:10Z               ,263.2612741,-13.08043006,1.37,1.035E11                           ,J1733-1304|J1733-130|J173302-130445|B1730-130|NRAO530
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:50:10Z               ,263.2612741,-13.08043006,1.5,9.15E10                            ,J1733-1304|J1733-130|J173302-130445|B1730-130|NRAO530
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:48:43Z               ,267.8867441,9.650202333,3.11,1.035E11                           ,J1751+0939|J1751+096|J175132+093858|B1749+096
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:48:43Z               ,267.8867441,9.650202333,3.21,9.15E10                            ,J1751+0939|J1751+096|J175132+093858|B1749+096
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:46:59Z               ,255.9022551,-62.21111352,0.47,9.15E10                            ,J1703-6212|J170336-621238|J170337-621233
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:46:59Z               ,255.9022551,-62.21111352,0.43,1.035E11                           ,J1703-6212|J170336-621238|J170337-621233
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:45:11Z               ,250.7450415,39.81027609,4.37,1.035E11                           ,J1642+3948|J1642+398|J164258+394842|3C345|B1641+399
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:45:11Z               ,250.7450415,39.81027609,4.63,9.15E10                            ,J1642+3948|J1642+398|J164258+394842|3C345|B1641+399
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:43:21Z               ,244.3245469,-58.80218339,1.35,1.035E11                           ,J1617-5848|J1613-586
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:43:21Z               ,244.3245469,-58.80218339,1.47,9.15E10                            ,J1617-5848|J1613-586
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:41:34Z               ,237.6469552,5.452902336,1.07,1.035E11                           ,J1550+0527|J1550+054|J155035+052702|B1548+056
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:41:34Z               ,237.6469552,5.452902336,1.15,9.15E10                            ,J1550+0527|J1550+054|J155035+052702|B1548+056
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:39:59Z               ,229.4242214,-24.37207669,1.88,1.035E11                           ,J1517-2422|J1517-243|J151743-242216|B1514-241
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:39:59Z               ,229.4242214,-24.37207669,1.94,9.15E10                            ,J1517-2422|J1517-243|J151743-242216|B1514-241
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:38:12Z               ,291.2127332,-29.24170029,4.76,1.035E11                           ,J1924-2914|J1924-292|J192451-291428|B1921-293
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:38:12Z               ,291.2127332,-29.24170029,5.19,9.15E10                            ,J1924-2914|J1924-292|J192451-291428|B1921-293
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:36:33Z               ,216.9845732,-42.10539935,5.66,1.035E11                           ,J1427-4206|J1427-421|J142755-420612|B1424-418
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:36:33Z               ,216.9845732,-42.10539935,5.93,9.15E10                            ,J1427-4206|J1427-421|J142755-420612|B1424-418
ALMA-Band 4                        ,ALMA                               ,2024-01-22T00:00:00Z               ,65.81583633,-1.342518194,4.08,1.55E11                            ,J0423-0120|J0423-013|J042315-012034|B0420-014
ALMA-Band 3                        ,ALMA                               ,2024-01-22T00:00:00Z               ,84.70983983,-44.08581636,3.33,1.035E11                           ,J0538-4405|J0538-440|J053851-440507|B0537-441
ALMA-Band 3                        ,ALMA                               ,2024-01-22T00:00:00Z               ,65.81583633,-1.342518194,4.9,1.035E11                           ,J0423-0120|J0423-013|J042315-012034|B0420-014
ALMA-Band 3                        ,ALMA                               ,2024-01-22T00:00:00Z               ,65.81583633,-1.342518194,5.2,9.15E10                            ,J0423-0120|J0423-013|J042315-012034|B0420-014
ALMA-Band 3                        ,ALMA                               ,2024-01-22T00:00:00Z               ,84.70983983,-44.08581636,3.57,9.15E10                            ,J0538-4405|J0538-440|J053851-440507|B0537-441
ALMA-Band 4                        ,ALMA                               ,2024-01-22T00:00:00Z               ,136.22158,-57.58493956,2.18,1.55E11                            ,J0904-5735|J090453-573504
ALMA-Band 4                        ,ALMA                               ,2024-01-22T00:00:00Z               ,39.66220878,16.61646517,1.49,1.55E11                            ,J0238+1636|J0238+166|J023838+163704|B0235+164
ALMA-Band 3                        ,ALMA                               ,2024-01-22T00:00:00Z               ,98.94378285,-75.27133762,1.47,9.15E10                            ,J0635-7516|J0635-751|J063542-751615|B0637-752
ALMA-Band 4                        ,ALMA                               ,2024-01-22T00:00:00Z               ,133.7036455,20.10851134,2.94,1.55E11                            ,J0854+2006|J0854+201|J085448+200647|B0851+202
ALMA-Band 3                        ,ALMA                               ,2024-01-22T00:00:00Z               ,98.94378285,-75.27133762,1.37,1.035E11                           ,J0635-7516|J0635-751|J063542-751615|B0637-752
ALMA-Band 4                        ,ALMA                               ,2024-01-22T00:00:00Z               ,159.3169989,-29.56744818,2.33,1.55E11                            ,J1037-2934|J1037-295|J103716-293421|B1034-293
ALMA-Band 4                        ,ALMA                               ,2024-01-22T00:00:00Z               ,117.7168572,12.51800784,1.28,1.55E11                            ,J0750+1231|J0750+125|J075051+123113|B0748+126
ALMA-Band 3                        ,ALMA                               ,2024-01-22T00:00:00Z               ,116.8320136,-33.17971443,0.76,9.15E10                            ,J0747-3310|J0747-331|J074719-331046|B0745-330
ALMA-Band 4                        ,ALMA                               ,2024-01-22T00:00:00Z               ,77.50987138,18.01155046,1.41,1.55E11                            ,J0510+1800|J0510+180|J051002+180041|B0507+179|VLA_0510+180
ALMA-Band 4                        ,ALMA                               ,2024-01-22T00:00:00Z               ,49.95066715,41.51169602,17.94,1.55E11                            ,J0319+4130|J0319+415|J031947+413042|3C84|B0316+413
ALMA-Band 4                        ,ALMA                               ,2024-01-22T00:00:00Z               ,39.468357,28.80249724,0.91,1.55E11                            ,J0237+2848|J0237+288|J023752+284814|B0234+285
