# Band Name                        ,Catalogue Name                     ,Date Observed                      ,RA,RA Uncertainty                     ,Dec,DEC Uncertainty                    ,Flux,Flux Density Uncertainty           ,Frequency                          ,Separation                         ,UV Min                             ,UV Max                             ,Names
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:50:10Z               ,263.2612741,2.77777777778E-8                   ,-13.08043006,2.77777777778E-8                   ,1.37,0.03,1.035E11                           ,Not Applicable                     ,                                   ,-16.8,J1733-1304|J1733-130|J173302-130445|B1730-130|NRAO530
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:50:10Z               ,263.2612741,2.77777777778E-8                   ,-13.08043006,2.77777777778E-8                   ,1.5,0.04,9.15E10                            ,Not Applicable                     ,                                   ,-14.9,J1733-1304|J1733-130|J173302-130445|B1730-130|NRAO530
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:45:11Z               ,250.7450415,3.61111111111E-8                   ,39.81027609,2.77777777778E-8                   ,4.37,0.06,1.035E11                           ,Not Applicable                     ,                                   ,-9.6,J1642+3948|J1642+398|J164258+394842|3C345|B1641+399
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:45:11Z               ,250.7450415,3.61111111111E-8                   ,39.81027609,2.77777777778E-8                   ,4.63,0.08,9.15E10                            ,Not Applicable                     ,                                   ,-8.5,J1642+3948|J1642+398|J164258+394842|3C345|B1641+399
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:43:21Z               ,244.3245469,5.83333333333E-8                   ,-58.80218339,3.05555555556E-8                   ,1.35,0.03,1.035E11                           ,Not Applicable                     ,                                   ,-13.8,J1617-5848|J1613-586
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:43:21Z               ,244.3245469,5.83333333333E-8                   ,-58.80218339,3.05555555556E-8                   ,1.47,0.04,9.15E10                            ,Not Applicable                     ,                                   ,-12.2,J1617-5848|J1613-586
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:41:34Z               ,237.6469552,2.77777777778E-8                   ,5.452902336,2.77777777778E-8                   ,1.07,0.03,1.035E11                           ,Not Applicable                     ,                                   ,-14.7,J1550+0527|J1550+054|J155035+052702|B1548+056
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:41:34Z               ,237.6469552,2.77777777778E-8                   ,5.452902336,2.77777777778E-8                   ,1.15,0.04,9.15E10                            ,Not Applicable                     ,                                   ,-13,J1550+0527|J1550+054|J155035+052702|B1548+056
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:39:59Z               ,229.4242214,3.06E-8                            ,-24.37207669,2.78E-8                            ,1.88,0.03,1.035E11                           ,Not Applicable                     ,                                   ,-16.9,J1517-2422|J1517-243|J151743-242216|B1514-241
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:39:59Z               ,229.4242214,3.06E-8                            ,-24.37207669,2.78E-8                            ,1.94,0.04,9.15E10                            ,Not Applicable                     ,                                   ,-14.9,J1517-2422|J1517-243|J151743-242216|B1514-241
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:38:12Z               ,291.2127332,3.05555555556E-8                   ,-29.24170029,2.77777777778E-8                   ,4.76,0.06,1.035E11                           ,Not Applicable                     ,                                   ,-16.1,J1924-2914|J1924-292|J192451-291428|B1921-293
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:38:12Z               ,291.2127332,3.05555555556E-8                   ,-29.24170029,2.77777777778E-8                   ,5.19,0.09,9.15E10                            ,Not Applicable                     ,                                   ,-14.2,J1924-2914|J1924-292|J192451-291428|B1921-293
ALMA-Band 3                        ,ALMA                               ,2024-01-23T12:36:33Z               ,216.9845732,3.88888888889E-8                   ,-42.10539935,2.77777777778E-8                   ,5.66,0.06,1.035E11                           ,Not Applicable                     ,                                   ,-16.2,J1427-4206|J1427-421|J142755-420612|B1424-418
